trade_key_x,signal_time_x,entry_time_x,dir_x,mode_x,stage_x,entry,stop,stop_distance,exit_time_x,exit_price,exit_reason,pnl_points,_key,signal_time_y,entry_time_y,dir_y,mode_y,stage_y,open_time,ea_entry,ea_stop,exit_time_y,ea_exit,ea_reason,ea_pnl,pnl_usd,virtual_balance,trade_key_y,_merge,diff_entry,diff_stop,diff_exit_price,diff_pnl_points
2025.09.02 14:30:00|L|S2,2025-09-02 14:30:00,2025-09-02 14:30:00,L,post_n2,2.0,3502.171,3485.218,16.952999999999975,2025-09-03 05:30:00,3528.143479150694,trail/SL hit,25.9724791506942,2025.09.02 14:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 14:30:00|L|S3,2025-09-02 14:30:00,2025-09-02 14:30:00,L,post_n2,3.0,3502.171,3485.218,16.952999999999975,2025-09-04 01:30:00,3546.202,M30 merged cross,44.0310000000004,2025.09.02 14:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 15:00:00|L|S1,2025-09-02 15:00:00,2025-09-02 15:00:00,L,post_n3,1.0,3511.08,3487.205,23.875,2025-09-03 13:00:00,3558.83,2.0R TP,47.75,2025.09.02 15:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 15:00:00|L|S2,2025-09-02 15:00:00,2025-09-02 15:00:00,L,post_n3,2.0,3511.08,3487.205,23.875,2025-09-03 23:00:00,3558.576796462112,trail/SL hit,47.49679646211189,2025.09.02 15:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 15:00:00|L|S3,2025-09-02 15:00:00,2025-09-02 15:00:00,L,post_n3,3.0,3511.08,3487.205,23.875,2025-09-04 01:30:00,3546.202,M30 merged cross,35.1220000000003,2025.09.02 15:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 15:30:00|L|S1,2025-09-02 15:30:00,2025-09-02 15:30:00,L,post_n4,1.0,3512.908,3489.181,23.72699999999986,2025-09-03 13:00:00,3560.362,2.0R TP,47.45399999999972,2025.09.02 15:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 15:30:00|L|S2,2025-09-02 15:30:00,2025-09-02 15:30:00,L,post_n4,2.0,3512.908,3489.181,23.72699999999986,2025-09-03 23:00:00,3558.576796462112,trail/SL hit,45.66879646211192,2025.09.02 15:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 15:30:00|L|S3,2025-09-02 15:30:00,2025-09-02 15:30:00,L,post_n4,3.0,3512.908,3489.181,23.72699999999986,2025-09-04 01:30:00,3546.202,M30 merged cross,33.294000000000324,2025.09.02 15:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.09.02 16:00:00|BUY|S2,2025.09.02 15:00,2025.09.02 16:00,BUY,post_n,2.0,2025.09.02 16:00,3520.327,3489.18149,2025.09.02 16:00,3524.788,M30 merged cross,4.461,4.461,559.84625,2025.09.02 16:00:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.09.02 16:00:00|BUY|S3,2025.09.02 15:00,2025.09.02 16:00,BUY,post_n,3.0,2025.09.02 16:00,3520.327,3489.18149,2025.09.02 16:00,3524.788,M30 merged cross,4.461,6.6915,566.53775,2025.09.02 16:00:00|BUY|S3,right_only,,,,
2025.09.02 16:00:00|L|S1,2025-09-02 16:00:00,2025-09-02 16:00:00,L,post_n5,1.0,3520.327,3491.575,28.752000000000407,2025-09-03 18:00:00,3577.831000000001,2.0R TP,57.504000000000815,2025.09.02 16:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 16:00:00|L|S2,2025-09-02 16:00:00,2025-09-02 16:00:00,L,post_n5,2.0,3520.327,3491.575,28.752000000000407,2025-09-03 23:00:00,3558.576796462112,trail/SL hit,38.24979646211159,2025.09.02 16:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 16:00:00|L|S3,2025-09-02 16:00:00,2025-09-02 16:00:00,L,post_n5,3.0,3520.327,3491.575,28.752000000000407,2025-09-04 01:30:00,3546.202,M30 merged cross,25.875,2025.09.02 16:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 16:30:00|L|S1,2025-09-02 16:30:00,2025-09-02 16:30:00,L,post_n6,1.0,3524.765,3494.13,30.634999999999764,2025-09-05 12:30:00,3586.0349999999994,2.0R TP,61.26999999999953,2025.09.02 16:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 16:30:00|L|S2,2025-09-02 16:30:00,2025-09-02 16:30:00,L,post_n6,2.0,3524.765,3494.13,30.634999999999764,2025-09-03 23:00:00,3556.642850412354,trail/SL hit,31.87785041235429,2025.09.02 16:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
