bar_time,close,m30_sma5,m30_sma13,m30_dist%,m30_cross,h2_dist%,h2_dir,signal
2026-06-11 12:30:00,4081.988,4083.544,4088.16,0.113,NONE,1.4253,BULL,NO_SIGNAL
2026-06-11 13:00:00,4075.413,4081.918,4087.18,0.1289,NONE,1.4253,BULL,NO_SIGNAL
2026-06-11 13:30:00,4083.26,4082.186,4086.878,0.1149,NONE,1.4253,BULL,NO_SIGNAL
2026-06-11 14:00:00,4074.85,4080.719,4085.953,0.1283,NONE,1.3337,BULL,NO_SIGNAL
2026-06-11 14:30:00,4073.597,4079.295,4085.002,0.1399,NONE,1.3337,BULL,NO_SIGNAL
2026-06-11 15:00:00,4081.521,4079.74,4084.735,0.1224,NONE,1.3337,BULL,NO_SIGNAL
2026-06-11 15:30:00,4088.661,4081.524,4085.037,0.0861,NONE,1.3337,BULL,NO_SIGNAL
2026-06-11 16:00:00,4079.738,4081.167,4084.629,0.0848,NONE,1.0518,BULL,NO_SIGNAL
2026-06-11 16:30:00,4080.372,4081.008,4084.302,0.0807,NONE,1.0518,BULL,NO_SIGNAL
2026-06-11 17:00:00,4101.651,4085.137,4085.636,0.0122,DEAD,1.0518,BULL,M30_DEAD_no_H2
2026-06-11 17:30:00,4151.963,4098.502,4090.738,-0.1894,NONE,1.0518,BULL,NO_SIGNAL
2026-06-11 18:00:00,4153.081,4109.418,4095.534,-0.3379,NONE,0.6561,BULL,NO_SIGNAL
2026-06-11 18:30:00,4161.803,4119.895,4100.631,-0.4676,NONE,0.6561,BULL,NO_SIGNAL
2026-06-11 19:00:00,4195.74,4135.064,4107.947,-0.6558,NONE,0.6561,BULL,NO_SIGNAL
2026-06-11 19:30:00,4208.967,4149.844,4115.718,-0.8223,NONE,0.6561,BULL,NO_SIGNAL
2026-06-11 20:00:00,4213.924,4162.66,4123.272,-0.9462,NONE,0.3487,NEUTRAL,NO_SIGNAL
2026-06-11 20:30:00,4211.516,4172.431,4130.06,-1.0155,NONE,0.3487,NEUTRAL,NO_SIGNAL
2026-06-11 22:00:00,4214.762,4180.898,4136.576,-1.0601,NONE,0.0934,NEUTRAL,NO_SIGNAL
2026-06-11 22:30:00,4243.304,4193.379,4144.786,-1.1588,NONE,0.0934,NEUTRAL,NO_SIGNAL
2026-06-11 23:00:00,4216.387,4197.98,4150.294,-1.1359,NONE,0.0934,NEUTRAL,NO_SIGNAL
2026-06-11 23:30:00,4219.785,4202.341,4155.639,-1.1113,NONE,0.0934,NEUTRAL,NO_SIGNAL
2026-06-12 00:00:00,4220.485,4205.97,4160.627,-1.0781,NONE,0.0017,NEUTRAL,NO_SIGNAL
2026-06-12 00:30:00,4208.154,4206.407,4164.283,-1.0014,NONE,0.0017,NEUTRAL,NO_SIGNAL
2026-06-12 01:00:00,4181.084,4201.342,4165.576,-0.8513,NONE,0.0017,NEUTRAL,NO_SIGNAL
2026-06-12 01:30:00,4186.89,4198.452,4167.215,-0.744,NONE,0.0017,NEUTRAL,NO_SIGNAL
2026-06-12 02:00:00,4188.585,4196.478,4168.859,-0.6582,NONE,-0.0964,NEUTRAL,NO_SIGNAL
2026-06-12 02:30:00,4191.411,4195.465,4170.594,-0.5928,NONE,-0.0964,NEUTRAL,NO_SIGNAL
2026-06-12 03:00:00,4203.304,4197.033,4173.11,-0.57,NONE,-0.0964,NEUTRAL,NO_SIGNAL
2026-06-12 03:30:00,4197.277,4197.082,4174.969,-0.5269,NONE,-0.0964,NEUTRAL,NO_SIGNAL
2026-06-12 04:00:00,4192.544,4196.174,4176.321,-0.4731,NONE,-0.0959,NEUTRAL,NO_SIGNAL
2026-06-12 04:30:00,4190.115,4194.962,4177.382,-0.4191,NONE,-0.0959,NEUTRAL,NO_SIGNAL
2026-06-12 05:00:00,4186.967,4193.363,4178.119,-0.3635,NONE,-0.0959,NEUTRAL,NO_SIGNAL
2026-06-12 05:30:00,4173.03,4189.297,4177.728,-0.2762,NONE,-0.0959,NEUTRAL,NO_SIGNAL
2026-06-12 06:00:00,4181.937,4187.825,4178.052,-0.2334,NONE,-0.1559,NEUTRAL,NO_SIGNAL
2026-06-12 06:30:00,4184.002,4187.06,4178.509,-0.2042,NONE,-0.1559,NEUTRAL,NO_SIGNAL
2026-06-12 07:00:00,4174.251,4184.498,4178.182,-0.151,NONE,-0.1559,NEUTRAL,NO_SIGNAL
2026-06-12 07:30:00,4194.047,4186.408,4179.402,-0.1673,NONE,-0.1559,NEUTRAL,NO_SIGNAL
2026-06-12 08:00:00,4212.879,4191.702,4181.977,-0.232,NONE,-0.2794,NEUTRAL,NO_SIGNAL
2026-06-12 08:30:00,4219.695,4197.301,4184.879,-0.296,NONE,-0.2794,NEUTRAL,NO_SIGNAL
2026-06-12 09:00:00,4221.066,4202.054,4187.662,-0.3425,NONE,-0.2794,NEUTRAL,NO_SIGNAL
2026-06-12 09:30:00,4221.921,4206.027,4190.298,-0.374,NONE,-0.2794,NEUTRAL,NO_SIGNAL
